Title,"Image Link",Type,Seats,Speed,Range,"Price Per Hour"
"Learjet 75",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Learjet-70-PrivateFly-AB1186.jpg,MediumJets,6,"432 kts","2060 nm",2500
"Sabreliner 75",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Sabreliner-75-PrivateFly-AB1105.jpg,MediumJets,8,"435 kts","1713 nm",3000
"Jetstar 8",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Jetstar-8-PrivateFly-AB1198.jpg,MediumJets,8,"437 kts","1562 nm",3000
"Hawker 900/900XP",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Hawker-900-900XP-PrivateFly-AB1202.jpg,MediumJets,9,"440 kts","2500 nm",3200
"Citation Latitude",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Citation-Latitude-PrivateFly-AA9877.jpg,MediumJets,8,"440 kts","2850 nm",3200
"Pilatus PC-24",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Pilatus-PC-24-PrivateFly-AC1938.jpg,MediumJets,7,"440 kts","2035 nm",4000
"Learjet 45 / 45XR",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Learjet-45-45XR-PrivateFly-AB1128.jpg,MediumJets,8,"445 kts","2000 nm",2989
"Learjet 55",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Learjet-55-PrivateFly-AB1189.jpg,MediumJets,7,"447 kts","2100 nm",3000
"Learjet 60",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Learjet-60-PrivateFly-AA9528.jpg,MediumJets,7,"447 kts","2200 nm",3139
"Hawker 800/800XP",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Hawker-800-PrivateFly-AA7295.jpg,MediumJets,8,"447 kts","2540 nm",3000
"G100/150 Astra",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/G100-150-Astra-PrivateFly-AA9862.jpg,MediumJets,8,"459 kts","3000 nm",3400
"Sabreliner 60 / 65",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Sabreliner-60-65-PrivateFly-AB1181.jpg,MediumJets,7,"465 kts","1500 nm",3000
BAe125-400,//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/BAe125-400-PrivateFly-AB1138.jpg,MediumJets,7,"470 kts","1400 nm",4000
"Legacy 450",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Legacy-450-PrivateFly-AB1184.jpg,MediumJets,8,"500 kts","2500 nm",3000
Title,"Image Link",Type,Seats,Speed,Range,"Price Per Hour"
"Avro Business Jet",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Avro-Business-Jet-PrivateFly-AA9615.jpg,LongRangeJets,46,"400 kts","1280 nm",10000
"Dornier Executive 328JET",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Dornier-Executive-328JET-PrivateFly-AA9678.jpg,LongRangeJets,15,"405 kts","2000 nm",6550
"Gulfstream G3",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Gulfstream-G3-PrivateFly-AA9852.jpg,LongRangeJets,13,"410 kts","3650 nm",4333
