Location,Airport,1,2,3,4,5,6,7,8,9,10,11,12
Australia,PER,3.34439,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,PHE,5.6316,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,PLO,5.28943,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,PPP,5.25339,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,ROK,4.01289,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,SYD,3.146212,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,TMW,5.31339,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,TSV,4.24479,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,W98,4.65356,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,W99,4.47397,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,WEI,4.92975,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,WGA,4.7236,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Australia,WOL,4.76839,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Austria,GRZ,4.55189,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Austria,INN,4.59117,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Austria,KLU,5.05353,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Austria,LNZ,2.93629,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Austria,SZG,2.60012,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Austria,VIE,2.66234,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Azerbaijan,GBB,3.02765,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Azerbaijan,GYD,2.99744,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Azerbaijan,KVD,2.99744,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Azerbaijan,LLK,3.02765,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Azerbaijan,NAJ,3.23913,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Bahamas,ELH,5.90549,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Bahamas,FPO,5.43499,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Bahamas,GGT,6.64899,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Bahamas,MHH,6.12029,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Bahamas,NAS,5.38499,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Bahamas,ZSA,6.62499,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Bahrain,BAH,2.41833,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Bangladesh,CGP,2.93315,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Bangladesh,CXB,3.74811,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Bangladesh,DAC,2.92815,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Bangladesh,ZYL,2.91815,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Barbados,BGI,3.62149,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Belarus,BQT,2.97286,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Belarus,GME,2.97286,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Belarus,GNA,2.97286,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Belarus,MSQ,3.83993,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Belarus,MVQ,3.307105,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Belarus,VTB,2.97286,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Belgium,ANR,3.78854,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Belgium,BRU,2.7094133333333,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Belgium,CRL,2.411765,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Belgium,LGG,2.361585,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Belgium,OST,3.171135,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Belize,BZE,2.97499,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Benin,COO,2.94306,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Bermuda,BDA,4.07899,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
"Bolivia, Plurinational State of",BYC,"no data",4.36302,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
"Bolivia, Plurinational State of",CBB,"no data",4.32903,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
"Bolivia, Plurinational State of",CIJ,"no data",4.21403,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
"Bolivia, Plurinational State of",GYA,"no data",4.21403,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
"Bolivia, Plurinational State of",LPB,"no data",4.32903,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
"Bolivia, Plurinational State of",PSZ,"no data",4.21403,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
"Bolivia, Plurinational State of",RIB,"no data",4.21403,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
"Bolivia, Plurinational State of",SRE,"no data",4.21403,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
"Bolivia, Plurinational State of",SRZ,"no data",4.21403,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
"Bolivia, Plurinational State of",TDD,"no data",4.21403,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
"Bolivia, Plurinational State of",TJA,"no data",4.47903,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
"Bolivia, Plurinational State of",VVI,"no data",4.21403,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
"Bonaire, Sint Eustatius and Saba",BON,2.67105,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
"Bosnia and Herzegovina",SJJ,2.72157,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Botswana,BBK,3.32029,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Botswana,FRW,3.17089,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Botswana,GBE,3.06439,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Botswana,MUB,3.38269,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,BEL,2.68738,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,BPS,3.18592,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,BSB,2.79052,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,BVB,3.0821,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,CFB,4.25166,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,CGB,3.59497,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,CGR,3.24997,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,CNF,2.6831,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,CWB,2.76575,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,FLN,2.85575,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,FOR,2.61153,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,GIG,2.14666,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,GRU,2.16853,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,GYN,4.16097,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,IGU,3.07575,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,JCR,4.13332,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,MAO,2.63415,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,MCP,3.92738,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,MCZ,2.77136,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,MGF,3.82536,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,NAT,2.6295,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,PNZ,3.30497,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,POA,2.72717,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,REC,2.61036,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,SJK,3.01689,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,SLZ,2.88944,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,SSA,2.71492,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,THE,3.15497,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,VCP,2.60497,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Brazil,VIX,3.03115,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
"Brunei Darussalam",BWN,2.62356,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Bulgaria,BOJ,2.606075,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Bulgaria,GOZ,3.34487,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Bulgaria,PDV,2.53641,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Bulgaria,SOF,2.598405,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Bulgaria,VAR,2.617235,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
"Burkina Faso",BOY,4.25569,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
"Burkina Faso",OUA,3.37806,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Burundi,BJM,4.33259,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Cambodia,KOS,2.82939,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Cambodia,PNH,2.70379,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Cambodia,REP,2.67739,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Cameroon,DLA,2.71327,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Cameroon,GOU,6.40056,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Cameroon,NSI,2.87217,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Canada,YAM,5.218645,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Canada,YBG,5.52073,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Canada,YCG,5.54312,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Canada,YCH,5.42986,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Canada,YCL,7.14583,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Canada,YDF,5.42574,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Canada,YEG,3.704908,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
Canada,YFC,4.39187,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
